OBJECTID,Join_Count,TARGET_FID,JOIN_FID,EGRID,COMMUNE,NO_COMM,NO_PARCELLE,IDEDDP,SURFACE,MUTMAI,MUTORI,PROVENANCE,VALIDITE,TYPE_PROPRI,PLAN_RF,EXTRAIT_RDPPF_PDF,NO_CLASSEMENT,NOM,NATURE_OBJET,DATE_ACE,PROTECTION_FEDERALE,LIEN_WWW,LIEN_ARRETE,SHAPE_Length,SHAPE_Area,x,y
"23","1","2043","712",CH628430656339,Plan-les-Ouates,"36","6938",36:6938,"2033","0392009","0392009",terrestre,en vigueur,DP cantonal,"39",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH628430656339,MS-c 137,Maison forte d'Arare,Parcelle,05.03.1957,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c137.pdf,417.733318080432,2032.6052031335,6.1067859573,46.1617167353
"24","1","2155","190",CH687265638135,Meinier,"32","1676",32:1676,"44036","0112000","0112000",terrestre,en vigueur,privé,"18",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH687265638135,MS-c 1,Ruines du château de Rouelbeau,Parcelle,31.05.1921,Oui,https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c1.pdf,857.66813510006,44036.4420643571,6.2188707815,46.2437503644
"25","1","2265","642",CH908163466535,Céligny,"10","443",10:443,"1785","0081995","0081995",terrestre,en vigueur,DP cantonal,"8",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH908163466535,MS-c 203,Domaine de l'Elysée,Parcelle,24.03.1976,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c203.pdf,449.064459637058,1785.26312365766,6.1956205932,46.3512147066
"26","1","2295","272",CH516383659122,Grand-Saconnex,"26","2452",26:2452,"1498",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH516383659122,MS-c 277,Centre Oecuménique des Eglises - parcelle,Parcelle,22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,156.041316566058,1498.28629718222,6.1283650698,46.2308181535
"27","1","2296","272",CH509163836581,Grand-Saconnex,"26","2451",26:2451,"1501",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH509163836581,MS-c 277,Centre Oecuménique des Eglises - parcelle,Parcelle,22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,155.394808425488,1501.0470717088,6.1283547403,46.2302593087
"28","1","2297","272",CH536591638339,Grand-Saconnex,"26","2454",26:2454,"1966",,"62018",terrestre,en vigueur,privé,"7",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH536591638339,MS-c 277,Centre Oecuménique des Eglises - parcelle,Parcelle,22.11.2017,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c277.pdf,177.777155622028,1965.77220705676,6.1280322606,46.2289787689
"29","1","2715","441",CH228594656357,Dardagny,"20","1212",20:1212,"61747","0152008","0152008",terrestre,en vigueur,privé,"1",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH228594656357,MS-c 117,Bords de l'Allondon,Parcelle,01.04.1952,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c117.pdf,1139.4861114507,61747.0169487142,5.9979778051,46.2200535053
"30","1","3184","890",CH868265635282,Bernex,"7","2788",7:2788,"2065",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH868265635282,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,317.721159926106,2065.19364560105,6.0686148069,46.1705624490
"31","1","3192","792",CH928269656328,Bernex,"7","2840",7:2840,"990",,"0000000",terrestre,en vigueur,privé,"45",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH928269656328,MS-c 102,Coteau du Signal de Bernex,Parcelle,"06.02.1935,03.10.1933","-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c102.pdf,170.110013928678,990.155014309193,6.0697636549,46.1677414242
"32","1","3294","756",CH152465816359,Collonge-Bellerive,"16","4734",16:4734,"2380",,"0000000",terrestre,en vigueur,privé,"63",https://ge.ch/terecadastrews/RdppfSVC.svc/extract/pdf/?EGRID=CH152465816359,MS-c 55,Eglise Saint-Léger,Parcelle,30.12.1921,"-",https://patrimoine.app.ge.ch/fr,https://ge.ch/sitg/geodata/SIPATRIMOINE/SI-EVI-OPS/EVI/edition/objets/MS-c_MS-i/MS-c_Arretes/MS-c55.pdf,210.028773491521,2380.11763410337,6.2038917315,46.2535848109
